Name,Compartment,Treat,Week,Group,Group_1
SRR8743105_quant,Root,Postflowering,TP12,RPO12,Root_Postflowering_TP12
SRR8743106_quant,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13
SRR8743107_quant,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13
SRR8743108_quant,Root,Postflowering,TP13,RPO13,Root_Postflowering_TP13
SRR8743109_quant,Root,Postflowering,TP14,RPO14,Root_Postflowering_TP14
SRR8743110_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15
SRR8743111_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15
SRR8743112_quant,Root,Postflowering,TP15,RPO15,Root_Postflowering_TP15
SRR8743113_quant,Root,Postflowering,TP16,RPO16,Root_Postflowering_TP16
SRR8743114_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17
SRR8743115_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17
SRR8743116_quant,Root,Postflowering,TP17,RPO17,Root_Postflowering_TP17
SRR8743117_quant,Root,Control,TP02,RCO02,Root_Control_TP02
SRR8743118_quant,Root,Control,TP02,RCO02,Root_Control_TP02
SRR8743119_quant,Root,Control,TP02,RCO02,Root_Control_TP02
SRR8743120_quant,Root,Control,TP03,RCO03,Root_Control_TP03
SRR8743121_quant,Root,Control,TP03,RCO03,Root_Control_TP03
SRR8743122_quant,Root,Control,TP03,RCO03,Root_Control_TP03
SRR8743123_quant,Root,Control,TP04,RCO04,Root_Control_TP04
SRR8743124_quant,Root,Control,TP04,RCO04,Root_Control_TP04
SRR8743125_quant,Root,Control,TP04,RCO04,Root_Control_TP04
SRR8743126_quant,Root,Control,TP05,RCO05,Root_Control_TP05
SRR8743127_unmaped_quant,Root,Control,TP05,RCO05,Root_Control_TP05
