ID,Group,Group2
SRR8743100,Metatranscriptome_Root_Postflowering_TP10,TP10R22
SRR8743101,Metatranscriptome_Root_Postflowering_TP10,TP10R16
SRR8743102,Metatranscriptome_Root_Postflowering_TP11,TP11R3
SRR8743103,Metatranscriptome_Root_Postflowering_TP11,TP11R22
SRR8743104,Metatranscriptome_Root_Postflowering_TP11,TP11R16
SRR8743105,Metatranscriptome_Root_Postflowering_TP12,TP12R22
SRR8743106,Metatranscriptome_Root_Postflowering_TP13,TP13R3
SRR8743107,Metatranscriptome_Root_Postflowering_TP13,TP13R16
SRR8743108,Metatranscriptome_Root_Postflowering_TP13,TP13R22
SRR8743109,Metatranscriptome_Root_Postflowering_TP14,TP14R22
SRR8743110,Metatranscriptome_Root_Postflowering_TP15,TP15R3
SRR8743111,Metatranscriptome_Root_Postflowering_TP15,TP15R16
SRR8743112,Metatranscriptome_Root_Postflowering_TP15,TP15R22
SRR8743113,Metatranscriptome_Root_Postflowering_TP16,TP16R22
SRR8743114,Metatranscriptome_Root_Postflowering_TP17,TP17R22
SRR8743115,Metatranscriptome_Root_Postflowering_TP17,TP17R3
SRR8743116,Metatranscriptome_Root_Postflowering_TP17,TP17R16
SRR8743117,Metatranscriptome_Root_Control_TP02,TP02R12
SRR8743118,Metatranscriptome_Root_Control_TP02,TP02R20
SRR8743119,Metatranscriptome_Root_Control_TP02,TP02R1
SRR8743120,Metatranscriptome_Root_Control_TP03,TP03R12
SRR8743121,Metatranscriptome_Root_Control_TP03,TP03R20
SRR8743122,Metatranscriptome_Root_Control_TP03,TP03R1
SRR8743123,Metatranscriptome_Root_Control_TP04,TP04R12
SRR8743124,Metatranscriptome_Root_Control_TP04,TP04R20
SRR8743125,Metatranscriptome_Root_Control_TP04,TP04R1
SRR8743126,Metatranscriptome_Root_Control_TP05,TP05R1
SRR8743127,Metatranscriptome_Root_Control_TP05,TP05R20
SRR8743128,Metatranscriptome_Root_Control_TP05,TP05R12
SRR8743129,Metatranscriptome_Root_Control_TP06,TP06R12
SRR8743130,Metatranscriptome_Root_Control_TP06,TP06R20
SRR8743131,Metatranscriptome_Root_Control_TP06,TP06R1
SRR8743132,Metatranscriptome_Root_Control_TP07,TP07R12
SRR8743133,Metatranscriptome_Root_Control_TP08,TP08R12
SRR8743134,Metatranscriptome_Root_Control_TP08,TP08R20
SRR8743135,Metatranscriptome_Root_Control_TP08,TP08R1
SRR8743136,Metatranscriptome_Root_Control_TP09,TP09R20
SRR8743137,Metatranscriptome_Root_Control_TP09,TP09R12
SRR8743138,Metatranscriptome_Root_Control_TP09,TP09R1
SRR8743139,Metatranscriptome_Root_Control_TP10,TP10R20
SRR8743140,Metatranscriptome_Root_Control_TP10,TP10R12
SRR8743141,Metatranscriptome_Root_Control_TP10,TP10R1
SRR8743142,Metatranscriptome_Root_Control_TP11,TP11R20
SRR8743143,Metatranscriptome_Root_Control_TP11,TP11R12
SRR8743144,Metatranscriptome_Root_Control_TP11,TP11R1
SRR8743145,Metatranscriptome_Root_Control_TP12,TP12R20
SRR8743146,Metatranscriptome_Root_Control_TP12,TP12R12
SRR8743147,Metatranscriptome_Root_Control_TP13,TP13R20
SRR8743148,Metatranscriptome_Root_Control_TP13,TP13R1
SRR8743149,Metatranscriptome_Root_Control_TP13,TP13R12
SRR8743150,Metatranscriptome_Root_Control_TP14,TP14R12
SRR8743151,Metatranscriptome_Root_Control_TP15,TP15R12
SRR8743152,Metatranscriptome_Root_Control_TP15,TP15R20
SRR8743153,Metatranscriptome_Root_Control_TP15,TP15R1
SRR8743154,Metatranscriptome_Root_Control_TP16,TP16R12
SRR8743155,Metatranscriptome_Root_Control_TP17,TP17R20
SRR8743156,Metatranscriptome_Root_Control_TP17,TP17R1
SRR8743157,Metatranscriptome_Root_Control_TP17,TP17R12
SRR8743158,Metatranscriptome_Root_Preflowering_TP03,TP03R6
SRR8743159,Metatranscriptome_Root_Preflowering_TP03,TP03R14
SRR8743160,Metatranscriptome_Root_Preflowering_TP03,TP03R17
SRR8743161,Metatranscriptome_Root_Preflowering_TP04,TP04R6
SRR8743162,Metatranscriptome_Root_Preflowering_TP04,TP04R14
SRR8743163,Metatranscriptome_Root_Preflowering_TP04,TP04R17
SRR8743164,Metatranscriptome_Root_Preflowering_TP05,TP05R6
SRR8743165,Metatranscriptome_Root_Preflowering_TP05,TP05R14
