AMF_induced_gene,Module_all,Module1,Module3,Module4
Sobic.003G224200,Sobic.001G358200,,Sobic.009G054301,
Sobic.003G244900,Sobic.001G361800,,Sobic.009G056400,
Sobic.003G247800,Sobic.001G364200,,Sobic.009G059600,
Sobic.003G286000,Sobic.001G366700,,Sobic.009G060300,
Sobic.003G315800,Sobic.001G368300,,Sobic.009G061000,
Sobic.003G318001,Sobic.001G369200,,Sobic.009G070800,
Sobic.003G379500,Sobic.001G371300,,Sobic.009G074300,
Sobic.003G387400,Sobic.001G373200,,Sobic.009G079100,
Sobic.003G414100,Sobic.001G377700,,Sobic.009G080400,
Sobic.003G421700,Sobic.001G379000,,Sobic.009G080900,
Sobic.003G422200,Sobic.001G379500,,Sobic.009G083800,
Sobic.004G013200,Sobic.001G380700,,Sobic.009G088200,
Sobic.004G108600,Sobic.001G381100,,Sobic.009G101100,
Sobic.004G109400,Sobic.001G384700,,Sobic.009G102800,
Sobic.004G114200,Sobic.001G387000,,Sobic.009G103700,
Sobic.004G123801,Sobic.001G388000,,Sobic.009G104800,
Sobic.004G147900,Sobic.001G389600,,Sobic.009G105000,
Sobic.004G160100,Sobic.001G392200,,Sobic.009G105500,
Sobic.004G169200,Sobic.001G393000,,Sobic.009G117100,
Sobic.004G190800,Sobic.001G397700,,Sobic.009G123000,
Sobic.004G226300,Sobic.001G399200,,Sobic.009G124800,
Sobic.004G230800,Sobic.001G402400,,Sobic.009G125800,
Sobic.004G254100,Sobic.001G403200,,Sobic.009G125900,
Sobic.004G349237,Sobic.001G405000,,Sobic.009G129400,
Sobic.005G050100,Sobic.001G406700,,Sobic.009G129500,
Sobic.005G076100,Sobic.001G407100,,Sobic.009G133700,
Sobic.005G087800,Sobic.001G416000,,Sobic.009G134000,
Sobic.005G129716,Sobic.001G427600,,Sobic.009G138300,
Sobic.005G129732,Sobic.001G428000,,Sobic.009G141700,
Sobic.005G129748,Sobic.001G435700,,Sobic.009G143200,
Sobic.005G129780,Sobic.001G437300,,Sobic.009G148000,
Sobic.005G129950,Sobic.001G437500,,Sobic.009G151100,
Sobic.005G151350,Sobic.001G439000,,Sobic.009G151700,
Sobic.005G152500,Sobic.001G439400,,Sobic.009G153800,
Sobic.005G214150,Sobic.001G442800,,Sobic.009G160700,
Sobic.005G226700,Sobic.001G449500,,Sobic.009G160800,
Sobic.005G227200,Sobic.001G451800,,Sobic.009G162500,
Sobic.005G227300,Sobic.001G452200,,Sobic.009G162700,
Sobic.005G227400,Sobic.001G452900,,Sobic.009G170500,
Sobic.005G230600,Sobic.001G453900,,Sobic.009G172950,
Sobic.005G230900,Sobic.001G455700,,Sobic.009G175200,
Sobic.005G231000,Sobic.001G461200,,Sobic.009G176600,
Sobic.005G231800,Sobic.001G461800,,Sobic.009G181800,
Sobic.006G020350,Sobic.001G463800,,Sobic.009G188000,
Sobic.006G025132,Sobic.001G468000,,Sobic.009G195300,
Sobic.006G027800,Sobic.001G468500,,Sobic.009G196300,
Sobic.006G048000,Sobic.001G470600,,Sobic.009G202900,
Sobic.006G054900,Sobic.001G479600,,Sobic.009G205800,
Sobic.006G082200,Sobic.001G484000,,Sobic.009G206500,
Sobic.006G091700,Sobic.001G488400,,Sobic.009G208700,
Sobic.006G120100,Sobic.001G488900,,Sobic.009G210400,
