"","KO_richness","KO_shannon","KO_Simpson","OTU_richness","OTU_shannon","OTU_Simpson","NA","Treat","Week","NA","NA","NA","NA","NA","Cultivar","NA","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","mpd.obs.z.1"
"SRR8743162_quant",227,"3.0911","0.7759",10,"2.6607","0.7860","Root","Preflowering drought",4,"RPR04","Root_Preflowering_TP04","TP04R14","TP4R14",1,"t642",14,10,0.360072955085859,0.432607772824785,0.0709366923913559,178,-1.02252889574769,0.178,999,1.02252889574769
"SRR8743164_quant",253,"2.9889","0.7258",5,"1.5568","0.5574","Root","Preflowering drought",5,"RPR05","Root_Preflowering_TP05","TP05R6","TP5R6",1,"t642",6,5,0.251013118544536,0.307595478875949,0.0820836417171958,278,-0.689325657922884,0.278,999,0.689325657922884
"SRR8743167_quant",363,"2.2060","0.5549",2,"0.9760","0.4835","Root","Preflowering drought",6,"RPR06","Root_Preflowering_TP06","TP06R6","TP6R6",1,"t642",6,2,0.322091848376033,0.265965866674596,0.120626260050707,569,0.46528825214214,0.569,999,-0.46528825214214
"SRR8743171_quant",274,"3.8177","0.8298",7,"1.9743","0.6455","Root","Preflowering drought",8,"RPR08","Root_Preflowering_TP08","TP08R6","TP8R6",1,"t642",6,7,0.253690429115243,0.354008027102387,0.0783597921165428,107,-1.28021776573811,0.107,999,1.28021776573811
"SRR8743173_quant",488,"4.0346","0.8474",8,"2.2817","0.7259","Root","Preflowering drought",9,"RPR09","Root_Preflowering_TP09","TP09R14","TP9R14",1,"t642",14,8,0.136074618623967,0.396759802225024,0.0807263060684138,1,-3.22924702364224,0.001,999,3.22924702364224
"SRR8743174_quant",893,"4.7027","0.8942",6,"1.7485","0.6331","Root","Preflowering drought",9,"RPR09","Root_Preflowering_TP09","TP09R6","TP9R6",1,"t642",6,6,0.352022728082185,0.347968392656734,0.0999891610415854,478,0.040547749208185,0.478,999,-0.040547749208185
"SRR8743175_quant",826,"4.2519","0.8716",4,"1.1517","0.5000","Root","Preflowering drought",9,"RPR09","Root_Preflowering_TP09","TP09R17","TP9R17",1,"t642",17,4,0.317701243624885,0.27543101383256,0.111604543731052,541,0.378750079335383,0.541,999,-0.378750079335383
"SRR8743176_quant",1116,"4.6266","0.8775",7,"1.6769","0.5280","Root","Preflowering drought",10,"RPR10","Root_Preflowering_TP10","TP10R14","TP10R14",1,"t642",14,7,0.197060345040863,0.290788781749605,0.0649013874350754,88,-1.44416691865799,0.088,999,1.44416691865799
"SRR8743179_quant",991,"4.7611","0.8912",10,"2.8704","0.8329","Root","Preflowering drought",11,"RPR11","Root_Preflowering_TP11","TP11R14","TP11R14",1,"t642",14,10,0.26324121853214,0.455390226683868,0.0683164785446105,6,-2.81263045527524,0.006,999,2.81263045527524
"SRR8743181_quant",523,"2.2837","0.6098",10,"1.9348","0.5698","Root","Preflowering drought",11,"RPR11","Root_Preflowering_TP11","TP11R17","TP11R17",1,"t642",17,10,0.193727421538567,0.314116542945105,0.0628309428607115,29,-1.91608013385101,0.029,999,1.91608013385101
"SRR8743182_quant",2506,"4.0806","0.7370",11,"3.2233","0.8811","Root","Preflowering drought",12,"RPR12","Root_Preflowering_TP12","TP12R6","TP12R6",1,"t642",6,11,0.236784579343893,0.483330295878598,0.0575286013024451,2,-4.28561986477891,0.002,999,4.28561986477891
"SRR8743183_quant",4811,"7.0938","0.9552",10,"2.4522","0.7328","Root","Preflowering drought",12,"RPR12","Root_Preflowering_TP12","TP12R14","TP12R14",1,"t642",14,10,0.129655681486226,0.398693158756195,0.0745404965088356,1,-3.60927938329575,0.001,999,3.60927938329575
